Term,UnitsTypeCV,UnitsAbbreviation,UnitsName,UnitsLink
abvolt,Electromotive force,abV,Abvolt,http://qudt.org/vocab/unit#Abvolt
millivolt,Electromotive force,mV,Millivolt,http://environment.data.gov.au/def/unit/MilliVolt; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
planckVolt,Electromotive force,,Planck Volt,http://qudt.org/vocab/unit#PlanckVolt
statvolt,Electromotive force,statV,Statvolt,http://qudt.org/vocab/unit#Statvolt; http://www.unidata.ucar.edu/software/udunits/
volt,Electromotive force,V,Volt,http://qudt.org/vocab/unit#Volt; http://unitsofmeasure.org/ucum.html#para-30; http://www.unidata.ucar.edu/software/udunits/; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
bev,Energy,,Bev,http://www.unidata.ucar.edu/software/udunits/
britishThermalUnit,Energy,Btu,British Thermal Unit,http://qudt.org/vocab/unit#BritishThermalUnitThermochemical; http://unitsofmeasure.org/ucum.html#para-43
"britishThermalUnit,InternationalSteamTable",Energy,BtuIT,"British Thermal Unit, International Steam Table",http://qudt.org/vocab/unit#BritishThermalUnitInternationalTable; http://unitsofmeasure.org/ucum.html#para-43; http://www.unidata.ucar.edu/software/udunits/
"britishThermalUnit,Mean",Energy,Btu_m,"British Thermal Unit, Mean",http://unitsofmeasure.org/ucum.html#para-43
"britishThermalUnit,ThermochemicalCalorie",Energy,"Btu, BtuTC, Btu_th","British Thermal Unit, Thermochemical Calorie",http://qudt.org/vocab/unit#BritishThermalUnitThermochemical; http://unitsofmeasure.org/ucum.html#para-43
britishThermalUnitAt39 °F,Energy,Btu_39,British Thermal Unit At 39 °F,http://unitsofmeasure.org/ucum.html#para-43
britishThermalUnitAt59 °F,Energy,Btu_59,British Thermal Unit At 59 °F,http://unitsofmeasure.org/ucum.html#para-43
britishThermalUnitAt60 °F,Energy,Btu_60,British Thermal Unit At 60 °F,http://unitsofmeasure.org/ucum.html#para-43
calorie,Energy,cal,Calorie,http://qudt.org/vocab/unit#CalorieThermochemical; http://unitsofmeasure.org/ucum.html#para-43; http://www.unidata.ucar.edu/software/udunits/; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
"calorie,InternationalTable",Energy,cal_IT,"Calorie, International Table",http://unitsofmeasure.org/ucum.html#para-43; http://www.unidata.ucar.edu/software/udunits/
"calorie,Mean",Energy,cal_m,"Calorie, Mean",http://unitsofmeasure.org/ucum.html#para-43
"calorie,Thermochemical",Energy,cal,"Calorie, Thermochemical",http://qudt.org/vocab/unit#CalorieThermochemical; http://unitsofmeasure.org/ucum.html#para-43; http://www.unidata.ucar.edu/software/udunits/; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
calorieAt15 °C,Energy,cal_15,Calorie At 15 °C,http://unitsofmeasure.org/ucum.html#para-43
calorieAt20 °C,Energy,cal_20,Calorie At 20 °C,http://unitsofmeasure.org/ucum.html#para-43
electronvolt,Energy,eV,ElectronVolt,http://qudt.org/vocab/unit#ElectronVolt
erg,Energy,erg,Erg,http://qudt.org/vocab/unit#Erg; http://unitsofmeasure.org/ucum.html#para-33
footPoundal,Energy,ft-pdl,Foot Poundal,http://qudt.org/vocab/unit#FootPoundal
footPoundForce,Energy,ft-lbf,Foot Pound Force,http://qudt.org/vocab/unit#FootPoundForce
gigaelectronvolt,Energy,GeV,GigaElectronVolt,http://qudt.org/vocab/unit#GigaElectronVolt
gigajoule,Energy,GJ,Gigajoule,
hartree,Energy,E_h,Hartree,http://qudt.org/vocab/unit#Hartree
inchPoundForce,Energy,in-lbf,Inch Pound Force,http://qudt.org/vocab/unit#InchPoundForce
joule,Energy,J,Joule,http://qudt.org/vocab/unit#Joule; http://unitsofmeasure.org/ucum.html#para-30http://www.unidata.ucar.edu/software/udunits/; 
kilocalorie,Energy,kcal,Kilocalorie,http://qudt.org/vocab/unit#Kilocalorie
kiloelectronvolt,Energy,keV,KiloElectronVolt,http://qudt.org/vocab/unit#KiloElectronVolt
kilowattHour,Energy,kW-hr,Kilowatt Hour,http://qudt.org/vocab/unit#Kilowatthour
megaelectronvolt,Energy,MeV,MegaElectronVolt,http://qudt.org/vocab/unit#MegaElectronVolt
megajoule,Energy,MJ,Megajoule,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
megawattHour,Energy,MW-hr,Megawatt Hour,
nutritionalCalorie,Energy,Cal,Nutritional Calorie,http://qudt.org/vocab/unit#CalorieNutritional; http://unitsofmeasure.org/ucum.html#para-43
planckEnergy,Energy,,Planck Energy,http://qudt.org/vocab/unit#PlanckEnergy
quad,Energy,quad,Quad,http://qudt.org/vocab/unit#Quad
thermEc,Energy,therm (EC),Therm EC,http://qudt.org/vocab/unit#ThermEEC
thermUs,Energy,therm (US),Therm US,http://qudt.org/vocab/unit#ThermUS; http://www.unidata.ucar.edu/software/udunits/
tonOfOilEquivalent,Energy,toe,Ton of Oil Equivalent,http://qudt.org/vocab/unit#TonOfOilEquivalent
tonTnt,Energy,t/lbf,Ton TNT,http://qudt.org/vocab/unit#TonEnergy; http://www.unidata.ucar.edu/software/udunits/
wattHour,Energy,W-hr,Watt Hour,http://qudt.org/vocab/unit#Watthour; http://www.unidata.ucar.edu/software/udunits/
ergPerCubicCentimeter,Energy density,,Erg per Cubic Centimeter,http://qudt.org/vocab/unit#ErgPerCubicCentimeter
joulePerCubicMeter,Energy density,J/m^3,Joule per Cubic Meter,http://qudt.org/vocab/unit#JoulePerCubicMeter
planckEnergyDensity,Energy density,,Planck Energy Density,
btuPerSquareFoot,Energy per area,Btu/ft^2,Btu per Square Foot,http://qudt.org/vocab/unit#BtuPerSquareFoot
footPoundForcePerSquareFoot,Energy per area,ft-lbf/ft^2,Foot Pound Force per Square Foot,http://qudt.org/vocab/unit#FootPoundForcePerSquareFoot
footPoundForcePerSquareMeter,Energy per area,ft-lbf/m^2,Foot Pound Force per Square Meter,http://qudt.org/vocab/unit#FootPoundForcePerSquareMeter
joulePerSquareCentimeter,Energy per area,J/cm^2,Joule per Square Centimeter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
joulePerSquareMeter,Energy per area,J/m^2,Joule per Square Meter,http://qudt.org/vocab/unit#JoulePerSquareMeter; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
kilocaloriePerSquareCentimeter,Energy per area,kcal/cm^2,Kilocalorie per Square Centimeter,http://qudt.org/vocab/unit#KilocaloriePerSquareCentimeter
langley,Energy per area,Ly,Langley,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://www.unidata.ucar.edu/software/udunits/
megajoulePerSquareMeter,Energy per area,MJ/m^2,Megajoule per Square Meter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
voltPerSquareMeter,Energy per area electrical charge,V m^-2,Volt per Square Meter,http://qudt.org/vocab/unit#VoltPerSquareMeter
joulePerSquareTesla,Energy per square magnetic flux density,J T^-2,Joule per Square Tesla,http://qudt.org/vocab/unit#JoulePerSquareTesla
kilogramPerPascalPerSecondPerMeterSquared,Fluid permeance,kg/(Pa.s.m^2),Kilogram per Pascal per Second per Meter Squared,
perm0C,Fluid permeance,Perm 0C,Perm 0C,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
perm23C,Fluid permeance,Perm 23C,Perm 23C,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
peripheralVascularResistanceUnit,Fluid resistance,PRU,Peripheral Vascular Resistance Unit,http://unitsofmeasure.org/ucum.html#para-44
woodUnit,Fluid resistance,wood'U,Wood Unit,http://unitsofmeasure.org/ucum.html#para-44
rhe,Fluidity,,Rhe,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
inVivoFluorescenceUnit,Fluorescence,IVFU,In Vivo Fluorescence Unit,http://qwwebservices.usgs.gov/service-domains.html
relativeFluorescenceUnit,Fluorescence,RFU,Relative Fluorescence Unit,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
dyne,Force,dyn,Dyne,http://qudt.org/vocab/unit#Dyne; http://unitsofmeasure.org/ucum.html#para-33
gramForce,Force,gf,Gram Force,http://unitsofmeasure.org/ucum.html#para-32; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
kilogramForce,Force,kgf,Kilogram Force,http://qudt.org/vocab/unit#KilogramForce; http://www.unidata.ucar.edu/software/udunits/
kilopond,Force,kp,Kilopond,http://qudt.org/vocab/unit#KiloPond
kip,Force,kip,Kip,http://qudt.org/vocab/unit#Kip; http://www.unidata.ucar.edu/software/udunits/; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
newton,Force,N,Newton,http://qudt.org/vocab/unit#Newton; http://unitsofmeasure.org/ucum.html#para-30; http://www.unidata.ucar.edu/software/udunits/
ounceForce,Force,ozf,Ounce Force,http://qudt.org/vocab/unit#OunceForce; http://www.unidata.ucar.edu/software/udunits/
planckForce,Force,,Planck Force,http://qudt.org/vocab/unit#PlanckForce
pond,Force,,Pond,http://www.unidata.ucar.edu/software/udunits/
poundal,Force,pdl,Poundal,http://qudt.org/vocab/unit#Poundal; http://www.unidata.ucar.edu/software/udunits/
poundForce,Force,lbf_av,Pound Force,http://qudt.org/vocab/unit#PoundForce; http://unitsofmeasure.org/ucum.html#para-32; http://www.unidata.ucar.edu/software/udunits/
tonForce,Force,,Ton Force,http://www.unidata.ucar.edu/software/udunits/
newtonPerMeter,Force per length,N/m,Newton per Meter,http://qudt.org/vocab/unit#NewtonPerMeter
poundForcePerFoot,Force per length,lbf/ft,Pound Force per Foot,http://qudt.org/vocab/unit#PoundForcePerFoot
poundForcePerInch,Force per length,lbf/in,Pound Force per Inch,http://qudt.org/vocab/unit#PoundForcePerInch
baud,Frequency,Bd,Baud,http://unitsofmeasure.org/ucum.html#para-48; http://www.unidata.ucar.edu/software/udunits/
countPerMinute,Frequency,#/min,Count per Minute,
countPerSecond,Frequency,#/s,Count per Second,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
countPerYear,Frequency,#/yr,Count per Year,http://qudt.org/vocab/unit#NumberPerYear
gigahertz,Frequency,GHz,Gigahertz,http://qudt.org/vocab/unit#GigaHertz
hertz,Frequency,Hz,Hertz,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://unitsofmeasure.org/ucum.html#para-30
inverseSecond,Frequency,s^-1,Inverse Second,http://qudt.org/vocab/unit#PerSecond
kilohertz,Frequency,KHz,Kilohertz,http://qudt.org/vocab/unit#KiloHertz
megahertz,Frequency,MHz,Megahertz,http://qudt.org/vocab/unit#MegaHertz
perDay,Frequency,1/d,Per Day,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
planckFrequency,Frequency,,Planck Frequency,http://qudt.org/vocab/unit#PlanckFrequency
cubicMeterPerKilogramSecondSquared,Gravitational attraction,m^3 kg^-1 s^-2,Cubic Meter per Kilogram Second Squared,http://qudt.org/vocab/unit#CubicMeterPerKilogramSecondSquared
btuPerDegreeFahrenheit,Heat capacity,Btu/degF,Btu per Degree Fahrenheit,http://qudt.org/vocab/unit#BtuPerDegreeFahrenheit
btuPerDegreeRankine,Heat capacity,Btu/degR,Btu per Degree Rankine,http://qudt.org/vocab/unit#BtuPerDegreeRankine
electronvoltPerKelvin,Heat capacity,eV K^-1,ElectronVolt per Kelvin,http://qudt.org/vocab/unit#ElectronVoltPerKelvin
joulePerKelvin,Heat capacity,J/K,Joule per Kelvin,http://qudt.org/vocab/unit#JoulePerKelvin
btuPerSquareFootHourDegreeFahrenheit,Heat transfer coefficient,Btu/(hr-ft^2-degF),Btu per Square Foot Hour Degree Fahrenheit,http://qudt.org/vocab/unit#BtuPerSquareFootHourDegreeFahrenheit
btuPerSquareFootSecondDegreeFahrenheit,Heat transfer coefficient,Btu/(ft^2-s-degF),Btu per Square Foot Second Degree Fahrenheit,http://qudt.org/vocab/unit#BtuPerSquareFootSecondDegreeFahrenheit
wattPerSquareMeterKelvin,Heat transfer coefficient,W/(m^2-K),Watt per Square Meter Kelvin,http://qudt.org/vocab/unit#WattPerSquareMeterKelvin
cubicCoulombMeterPerSquareJoule,Hyperpolarizability,C^3 m^3 J^-2,Cubic Coulomb Meter per Square Joule,http://qudt.org/vocab/unit#CubicCoulombMeterPerSquareJoule
footcandle,Illuminance,fc,Footcandle,http://qudt.org/vocab/unit#FootCandle; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
lumenPerSquareFoot,Illuminance,lm/ft^2,Lumen per Square Foot,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
lux,Illuminance,lx,Lux,http://qudt.org/vocab/unit#Lux; http://unitsofmeasure.org/ucum.html#para-30; http://www.unidata.ucar.edu/software/udunits/; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
phot,Illuminance,ph,Phot,http://qudt.org/vocab/unit#Phot; http://unitsofmeasure.org/ucum.html#para-33; http://www.unidata.ucar.edu/software/udunits/
abhenry,Inductance,abH,Abhenry,http://qudt.org/vocab/unit#Abhenry
henry,Inductance,H,Henry,http://qudt.org/vocab/unit#Henry; http://unitsofmeasure.org/ucum.html#para-30
microhenry,Inductance,microH,Microhenry,http://qudt.org/vocab/unit#MicroHenry
millihenry,Inductance,milliH,Millihenry,http://qudt.org/vocab/unit#MilliHenry
stathenry,Inductance,statH,Stathenry,http://qudt.org/vocab/unit#Stathenry; http://www.unidata.ucar.edu/software/udunits/
perMole,Inverse count,mol^-1,Per Mole,http://qudt.org/vocab/unit#PerMole
absorbanceUnitPerCentimeter,Inverse length,AU/cm,Absorbance Unit per Centimeter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
diopter,Inverse length,diop,Diopter,http://qudt.org/vocab/unit#Diopter
kayser,Inverse length,Ky,Kayser,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml; http://unitsofmeasure.org/ucum.html#para-33
mesh,Inverse length,mesh_i,Mesh,http://unitsofmeasure.org/ucum.html#para-44
perMeter,Inverse length,/m,Per Meter,http://qudt.org/vocab/unit#PerMeter; http://environment.data.gov.au/def/unit/Reciprocal_Meter; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
reciprocalMeter,Inverse length,m^-1,Reciprocal Meter,
unitPerCentimeter,Inverse length,units/cm,Unit per Centimeter,http://qwwebservices.usgs.gov/service-domains.html
perMeterKelvin,Inverse length temperature,m^-1 K^-1,Per Meter Kelvin,http://qudt.org/vocab/unit#PerMeterKelvin
hertzPerVolt,Inverse magnetic flux,Hz V^-1,Hertz per Volt,http://qudt.org/vocab/unit#HertzPerVolt
meterPerFarad,Inverse permittivity,,Meter per Farad,http://qudt.org/vocab/unit#MeterPerFarad
perSquareGigaElectronvolt,Inverse square energy,GeV^-2,Per Square Giga ElectronVolt,http://qudt.org/vocab/unit#PerSquareGigaElectronVolt
hertzPerKelvin,Inverse time temperature,Hz K^-1,Hertz per Kelvin,http://qudt.org/vocab/unit#HertzPerKelvin
megahertzPerKelvin,Inverse time temperature,MHz K^-1,Megahertz per Kelvin,http://qudt.org/vocab/unit#MegaHertzPerKelvin
perCubicMeter,Inverse volume,/m^3,Per Cubic Meter,http://qudt.org/vocab/unit#PerCubicMeter
perLiter,Inverse volume,1/L,Per Liter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
meterPerSecondCubed,Jerk,m/s^3,Meter per Second Cubed,
angstrom,Length,Ao,Angstrom,http://qudt.org/vocab/unit#Angstrom
arpentlin,Length,,Arpentlin,http://www.unidata.ucar.edu/software/udunits/
astronomicalUnit,Length,AU,Astronomical Unit,http://qudt.org/vocab/unit#AstronomicalUnit; http://unitsofmeasure.org/ucum.html#para-31
barleycorn,Length,,Barleycorn,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
bigPoint,Length,,Big Point,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
centimeter,Length,cm,Centimeter,http://qudt.org/vocab/unit#Centimeter
charrièreFrench,Length,Ch,Charrière French,http://unitsofmeasure.org/ucum.html#para-44
cicero,Length,cicero,Cicero,http://unitsofmeasure.org/ucum.html#para-42
decimeter,Length,decimeter,Decimeter,http://qudt.org/vocab/unit#Decimeter
didot,Length,didot,Didot,http://unitsofmeasure.org/ucum.html#para-42
fathom,Length,fth_i,Fathom,http://qudt.org/vocab/unit#Fathom; http://unitsofmeasure.org/ucum.html#para-34
"fathom,British",Length,fth_br,"Fathom, British",http://unitsofmeasure.org/ucum.html#para-36
"fathom,UsSurvey",Length,fth_us,"Fathom, US Survey",http://unitsofmeasure.org/ucum.html#para-35
femtometer,Length,fm,Femtometer,http://qudt.org/vocab/unit#Femtometer
fermi,Length,fm,Fermi,http://qudt.org/vocab/unit#Fermi
foot,Length,ft_i,Foot,http://qudt.org/vocab/unit#Foot; http://unitsofmeasure.org/ucum.html#para-34; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml; http://qwwebservices.usgs.gov/service-domains.html
"foot,British",Length,ft_br,"Foot, British",http://unitsofmeasure.org/ucum.html#para-36
"foot,UsSurvey",Length,ft_us,"Foot, US Survey ",http://unitsofmeasure.org/ucum.html#para-35; http://qudt.org/vocab/unit#FootUSSurvey; http://www.unidata.ucar.edu/software/udunits/
"furlong,UsSurvey",Length,fur_us,"Furlong, US Survey",http://qudt.org/vocab/unit#Furlong; http://unitsofmeasure.org/ucum.html#para-35
"gunter'SChain,British",Length,ch_br,"Gunter's Chain, British",http://unitsofmeasure.org/ucum.html#para-36
"gunter'SChain,UsSurveyor'SChain",Length,ch_us,"Gunter's Chain, US Surveyor's Chain",http://unitsofmeasure.org/ucum.html#para-35; http://qudt.org/vocab/unit#Chain
hand,Length,hd_i,Hand,http://unitsofmeasure.org/ucum.html#para-34
inch,Length,in_i,Inch,http://qudt.org/vocab/unit#Inch; http://unitsofmeasure.org/ucum.html#para-34; http://qwwebservices.usgs.gov/service-domains.html
"inch,British",Length,in_br,"Inch, British",http://unitsofmeasure.org/ucum.html#para-36
"inch,UsSurvey",Length,in_us,"Inch, US Survey",http://unitsofmeasure.org/ucum.html#para-35
kilometer,Length,km,Kilometer,http://qudt.org/vocab/unit#Kilometer
lightYear,Length,ly,Light Year,http://qudt.org/vocab/unit#LightYear; http://www.unidata.ucar.edu/software/udunits/; http://unitsofmeasure.org/ucum.html#para-32
ligne,Length,ligne,Ligne,http://unitsofmeasure.org/ucum.html#para-42
line,Length,lne,Line,http://unitsofmeasure.org/ucum.html#para-42
"linkForGunter'SChain,British",Length,lk_br,"Link for Gunter's Chain, British",http://unitsofmeasure.org/ucum.html#para-36
"linkForGunter'SChain,UsSurvey",Length,lk_us,"Link for Gunter's Chain, US Survey",http://unitsofmeasure.org/ucum.html#para-35
linkForRamden'SChain,Length,rlk_us,Link for Ramden's Chain,http://unitsofmeasure.org/ucum.html#para-35
meter,Length,m,Meter,http://qudt.org/vocab/unit#Meter; mhttp://unitsofmeasure.org/ucum.html#para-28; http://www.unidata.ucar.edu/software/udunits/; http://qwwebservices.usgs.gov/service-domains.html
microinch,Length,in^-6,Microinch,http://qudt.org/vocab/unit#MicroInch
micrometer,Length,µm,Micrometer,http://qudt.org/vocab/unit#Micrometer
micron,Length,um,Micron,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://www.unidata.ucar.edu/software/udunits/
mil,Length,mil_i,Mil,http://unitsofmeasure.org/ucum.html#para-34; http://qudt.org/vocab/unit#MilLength; http://www.unidata.ucar.edu/software/udunits/
"mil,UsSurvey",Length,mil_us,"Mil, US Survey",http://unitsofmeasure.org/ucum.html#para-35
mile,Length,mi_i,Mile,http://qudt.org/vocab/unit#MileInternational; http://unitsofmeasure.org/ucum.html#para-34; http://www.unidata.ucar.edu/software/udunits/
"mile,British",Length,mi_br,"Mile, British",http://unitsofmeasure.org/ucum.html#para-36
"mile,UsSurvey",Length,mi_us,"Mile, US Survey ",http://qudt.org/vocab/unit#MileUSStatute; http://unitsofmeasure.org/ucum.html#para-35
millimeter,Length,mm,Millimeter,http://qudt.org/vocab/unit#Millimeter; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
nanometer,Length,nm,Nanometer,
nauticalMile,Length,nmi_i,Nautical Mile,http://qudt.org/vocab/unit#NauticalMile; http://unitsofmeasure.org/ucum.html#para-34; http://www.unidata.ucar.edu/software/udunits/
"nauticalMile,British",Length,nmi_br,"Nautical Mile, British",http://unitsofmeasure.org/ucum.html#para-36
pace,Length,pc_br,Pace,http://unitsofmeasure.org/ucum.html#para-36
parsec,Length,pc,Parsec,http://qudt.org/vocab/unit#Parsec; http://unitsofmeasure.org/ucum.html#para-31; http://www.unidata.ucar.edu/software/udunits/
perch,Length,,Perch,http://www.unidata.ucar.edu/software/udunits/
pica,Length,pca,Pica,http://qudt.org/vocab/unit#Pica; http://unitsofmeasure.org/ucum.html#para-42; http://www.unidata.ucar.edu/software/udunits/
pied,Length,pied,Pied,http://unitsofmeasure.org/ucum.html#para-42
planckLength,Length,,Planck Length,http://qudt.org/vocab/unit#PlanckLength
point,Length,pnt,Point,http://qudt.org/vocab/unit#Point; http://unitsofmeasure.org/ucum.html#para-42
pole,Length,,Pole,http://www.unidata.ucar.edu/software/udunits/
pouce,Length,pouce,Pouce,http://unitsofmeasure.org/ucum.html#para-42
printersPica,Length,pca_pr,Printers Pica,http://unitsofmeasure.org/ucum.html#para-42; http://www.unidata.ucar.edu/software/udunits/
printersPoint,Length,pnt_pr,Printers Point,http://unitsofmeasure.org/ucum.html#para-42; http://www.unidata.ucar.edu/software/udunits/
ramden'SChain,Length,rch_us,Ramden's Chain,http://unitsofmeasure.org/ucum.html#para-35
rod,Length,rd,Rod,http://qudt.org/vocab/unit#Rod; http://unitsofmeasure.org/ucum.html#para-35; http://www.unidata.ucar.edu/software/udunits/
"rod,British",Length,rd_br,"Rod, British",http://unitsofmeasure.org/ucum.html#para-36
smoot,Length,smoot,Smoot,http://unitsofmeasure.org/ucum.html#para-47
yard,Length,yd_i,Yard,http://qudt.org/vocab/unit#Yard; http://unitsofmeasure.org/ucum.html#para-34; http://www.unidata.ucar.edu/software/udunits/
"yard,British",Length,yd_br,"Yard, British",http://unitsofmeasure.org/ucum.html#para-36
"yard,UsSurvey",Length,yd_us,"Yard, US Survey ",http://unitsofmeasure.org/ucum.html#para-35; http://www.unidata.ucar.edu/software/udunits/
btuFoot,Length energy,Btu-ft,Btu Foot,http://qudt.org/vocab/unit#BtuFoot
btuInch,Length energy,Btu-in,Btu Inch,http://qudt.org/vocab/unit#BtuInch
megaelectronvoltFemtometer,Length energy,MeV fm,Megaelectronvolt Femtometer,http://qudt.org/vocab/unit#MegaElectronVoltFemtometer
meterPerMeter,Length fraction,-,Meter per Meter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
percentSlope,Length fraction,%slope,Percent Slope,http://unitsofmeasure.org/ucum.html#para-44
microgramMeterPerLiter,Length integrated mass concentration,µg m/L,Microgram Meter per Liter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
meterKilogram,Length mass,m-kg,Meter Kilogram,http://qudt.org/vocab/unit#MeterKilogram
jouleMeterPerMole,Length molar energy,J m mol^-1,Joule Meter per Mole,http://qudt.org/vocab/unit#JouleMeterPerMole
perTeslaMeter,Length per magnetic flux,m^-1 T^-1,Per Tesla Meter,http://qudt.org/vocab/unit#PerTeslaMeter
degreeCelsiusCentimeter,Length temperature,cm-degC,Degree Celsius Centimeter,http://qudt.org/vocab/unit#DegreeCelsiusCentimeter
meterKelvin,Length temperature,m K,Meter Kelvin,http://qudt.org/vocab/unit#MeterKelvin
centimeterSecondDegreeCelsius,Length temperature time,cm-s-degC,Centimeter Second Degree Celsius,http://qudt.org/vocab/unit#CentimeterSecondDegreeCelsius
bel,Level,B,Bel,http://unitsofmeasure.org/ucum.html#para-46
bel10Nanovolt,Level,B10.nV,Bel 10 Nanovolt,http://unitsofmeasure.org/ucum.html#para-46
belKilowatt,Level,BkW,Bel Kilowatt,http://unitsofmeasure.org/ucum.html#para-46
belMicrovolt,Level,BuV,Bel Microvolt,http://unitsofmeasure.org/ucum.html#para-46
belMillivolt,Level,BmV,Bel Millivolt,http://unitsofmeasure.org/ucum.html#para-46
belSoundPressure,Level,BSPL,Bel Sound Pressure,http://unitsofmeasure.org/ucum.html#para-46; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
belVolt,Level,BV,Bel Volt,http://unitsofmeasure.org/ucum.html#para-46; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
belWatt,Level,BW,Bel Watt,http://unitsofmeasure.org/ucum.html#para-46; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
bm,Level,,Bm,http://www.unidata.ucar.edu/software/udunits/
bv,Level,,Bv,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
bz,Level,,Bz,http://www.unidata.ucar.edu/software/udunits/
decibel,Level,dB,Decibel,http://qudt.org/vocab/unit#Decibel
decibelCarrierUnit,Level,dBc,Decibel Carrier Unit,http://qudt.org/vocab/unit#DecibelCarrier
decibelMiliwatt,Level,dBm,Decibel miliWatt,http://qudt.org/vocab/unit#DecibelReferredToOneMilliwatt
neper,Level,Np,Neper,http://unitsofmeasure.org/ucum.html#para-46
centimeterPerSecondSquared,Linear acceleration,,Centimeter per Second Squared,http://qudt.org/vocab/unit#CentimeterPerSecondSquared
footPerSecondSquared,Linear acceleration,ft/s^2,Foot per Second Squared,http://qudt.org/vocab/unit#FootPerSecondSquared
gal,Linear acceleration,Gal,Gal,http://qudt.org/vocab/unit#Gal; http://unitsofmeasure.org/ucum.html#para-33
gravity,Linear acceleration,g,Gravity,http://qudt.org/vocab/unit#Gravity; http://unitsofmeasure.org/ucum.html#para-32; http://www.unidata.ucar.edu/software/udunits/
inchPerSecondSquared,Linear acceleration,in/s^2,Inch per Second Squared,http://qudt.org/vocab/unit#InchPerSecondSquared
knotPerSecond,Linear acceleration,kt/s,Knot per Second,http://qudt.org/vocab/unit#KnotPerSecond
meterPerSecondSquared,Linear acceleration,m/s^2,Meter per Second Squared,http://qudt.org/vocab/unit#MeterPerSecondSquared
microgravity,Linear acceleration,microG,Microgravity,http://qudt.org/vocab/unit#Microgravity
milligravity,Linear acceleration,mG,Milligravity,http://qudt.org/vocab/unit#Milligravity
kiloelectronvoltPerMicrometer,Linear energy transfer,keV/microM,KiloelectronVolt per Micrometer,http://qudt.org/vocab/unit#KiloElectronVoltPerMicrometer
megaelectronvoltPerCentimeter,Linear energy transfer,MeV/cm,Megaelectronvolt per Centimeter,http://qudt.org/vocab/unit#MegaElectronVoltPerCentimeter
kilogramMeterPerSecond,Linear momentum,kg-m/s,Kilogram Meter per Second,http://qudt.org/vocab/unit#KilogramMeterPerSecond
newtonSeconds,Linear momentum,N-s,Newton Seconds,
